CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
IZ,211,ARKIA  ISRAELI  AIRLINES,2025-06-21T18:15:00,2025-06-21T18:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,1,,,CANCELED,מבוטלת
IZ,096,ARKIA  ISRAELI  AIRLINES,2025-06-21T18:30:00,2025-06-21T18:30:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,1805,ARKIA  ISRAELI  AIRLINES,2025-06-21T18:50:00,2025-06-21T18:50:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,078,ARKIA  ISRAELI  AIRLINES,2025-06-21T18:55:00,2025-06-21T18:55:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,051,ARKIA  ISRAELI  AIRLINES,2025-06-21T19:00:00,2025-06-21T19:00:00,D,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,1844,ARKIA  ISRAELI  AIRLINES,2025-06-21T19:30:00,2025-06-21T19:30:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,169,ARKIA  ISRAELI  AIRLINES,2025-06-21T19:45:00,2025-06-21T19:45:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
IZ,416,ARKIA  ISRAELI  AIRLINES,2025-06-21T20:05:00,2025-06-21T20:05:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,CANCELED,מבוטלת
IZ,1845,ARKIA  ISRAELI  AIRLINES,2025-06-21T20:30:00,2025-06-21T20:30:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
BZ,701,BLUE BIRD AIRWAYS,2025-06-21T21:00:00,2025-06-21T21:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,131,BLUE BIRD AIRWAYS,2025-06-21T21:20:00,2025-06-21T21:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,CANCELED,מבוטלת
BZ,461,BLUE BIRD AIRWAYS,2025-06-21T21:45:00,2025-06-21T21:45:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,CANCELED,מבוטלת
IZ,1806,ARKIA  ISRAELI  AIRLINES,2025-06-21T21:50:00,2025-06-21T21:50:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,070,ARKIA  ISRAELI  AIRLINES,2025-06-21T22:05:00,2025-06-21T22:05:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,251,BLUE BIRD AIRWAYS,2025-06-21T22:15:00,2025-06-21T22:15:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,CANCELED,מבוטלת
BZ,271,BLUE BIRD AIRWAYS,2025-06-21T22:20:00,2025-06-21T22:20:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,CANCELED,מבוטלת
IZ,170,ARKIA  ISRAELI  AIRLINES,2025-06-21T22:45:00,2025-06-21T22:45:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
IZ,1846,ARKIA  ISRAELI  AIRLINES,2025-06-21T23:00:00,2025-06-21T23:00:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
BZ,751,BLUE BIRD AIRWAYS,2025-06-21T23:10:00,2025-06-21T23:10:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,1212,ARKIA  ISRAELI  AIRLINES,2025-06-21T23:50:00,2025-06-21T23:50:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,991,ARKIA  ISRAELI  AIRLINES,2025-06-21T23:55:00,2025-06-21T23:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,CANCELED,מבוטלת
IZ,052,ARKIA  ISRAELI  AIRLINES,2025-06-22T00:50:00,2025-06-22T00:50:00,A,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,276,ARKIA  ISRAELI  AIRLINES,2025-06-22T02:00:00,2025-06-22T02:00:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,CANCELED,מבוטלת
LIL,9103,FLY LILI,2025-06-22T06:00:00,2025-06-22T06:00:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,CANCELED,מבוטלת
BZ,692,BLUE BIRD AIRWAYS,2025-06-22T07:10:00,2025-06-22T07:10:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,704,BLUE BIRD AIRWAYS,2025-06-22T07:50:00,2025-06-22T07:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,802,BLUE BIRD AIRWAYS,2025-06-22T08:00:00,2025-06-22T08:00:00,D,KGS,KOS,קוס,KOS,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,752,BLUE BIRD AIRWAYS,2025-06-22T08:10:00,2025-06-22T08:10:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,756,BLUE BIRD AIRWAYS,2025-06-22T08:30:00,2025-06-22T08:30:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,562,BLUE BIRD AIRWAYS,2025-06-22T08:40:00,2025-06-22T08:40:00,D,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,CANCELED,מבוטלת
BZ,888,BLUE BIRD AIRWAYS,2025-06-22T08:55:00,2025-06-22T08:55:00,D,JMK,MIKONOS,מיקונוס,MYKONOS,יוון,GREECE,3,,,CANCELED,מבוטלת
3F,873,FLYONE ARMENIA LLC,2025-06-22T09:05:00,2025-06-22T09:05:00,A,EVN,YEREVAN,ירבאן,YEREVAN,ארמניה,ARMENIA,3,,,CANCELED,מבוטלת
