CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
IZ,743,ARKIA  ISRAELI  AIRLINES,2025-06-20T08:00:00,2025-06-20T08:00:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
IZ,801,ARKIA  ISRAELI  AIRLINES,2025-06-20T08:00:00,2025-06-20T08:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,302,ARKIA  ISRAELI  AIRLINES,2025-06-20T08:15:00,2025-06-20T08:15:00,A,KTW,KATOWICE,קטוביץ,KATOWICE,פולין,POLAND,3,,,CANCELED,מבוטלת
IZ,1223,ARKIA  ISRAELI  AIRLINES,2025-06-20T08:45:00,2025-06-20T08:45:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,1,,,CANCELED,מבוטלת
BZ,752,BLUE BIRD AIRWAYS,2025-06-20T09:00:00,2025-06-20T09:00:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
A9,696,GEORGIAN AIRWAYS,2025-06-20T09:10:00,2025-06-20T09:10:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,CANCELED,מבוטלת
3F,873,FLYONE ARMENIA LLC,2025-06-20T09:35:00,2025-06-20T09:35:00,A,EVN,YEREVAN,ירבאן,YEREVAN,ארמניה,ARMENIA,3,,,CANCELED,מבוטלת
BZ,692,BLUE BIRD AIRWAYS,2025-06-20T09:40:00,2025-06-20T09:40:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,097,ARKIA  ISRAELI  AIRLINES,2025-06-20T09:40:00,2025-06-20T09:40:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,1,,,CANCELED,מבוטלת
BZ,272,BLUE BIRD AIRWAYS,2025-06-20T10:00:00,2025-06-20T10:00:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,CANCELED,מבוטלת
IZ,1162,ARKIA  ISRAELI  AIRLINES,2025-06-20T10:00:00,2025-06-20T10:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
BZ,252,BLUE BIRD AIRWAYS,2025-06-20T10:20:00,2025-06-20T10:20:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,CANCELED,מבוטלת
IZ,142,ARKIA  ISRAELI  AIRLINES,2025-06-20T10:25:00,2025-06-20T10:25:00,A,AOK,KARPATHOS,קרפתוס,KARPATHOS,יוון,GREECE,3,,,CANCELED,מבוטלת
3F,874,FLYONE ARMENIA LLC,2025-06-20T10:35:00,2025-06-20T10:35:00,D,EVN,YEREVAN,ירבאן,YEREVAN,ארמניה,ARMENIA,3,,,CANCELED,מבוטלת
IZ,802,ARKIA  ISRAELI  AIRLINES,2025-06-20T10:40:00,2025-06-20T10:40:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
BZ,132,BLUE BIRD AIRWAYS,2025-06-20T11:00:00,2025-06-20T11:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,CANCELED,מבוטלת
BZ,703,BLUE BIRD AIRWAYS,2025-06-20T11:25:00,2025-06-20T11:25:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,1055,ARKIA  ISRAELI  AIRLINES,2025-06-20T11:25:00,2025-06-20T11:25:00,D,CFU,CORFU,קורפו,CORFU,יוון,GREECE,1,,,CANCELED,מבוטלת
IZ,073,ARKIA  ISRAELI  AIRLINES,2025-06-20T11:30:00,2025-06-20T11:30:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,1,,,CANCELED,מבוטלת
IZ,219,ARKIA  ISRAELI  AIRLINES,2025-06-20T11:30:00,2025-06-20T11:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,803,ARKIA  ISRAELI  AIRLINES,2025-06-20T11:30:00,2025-06-20T11:30:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,212,ARKIA  ISRAELI  AIRLINES,2025-06-20T11:40:00,2025-06-20T11:40:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,706,BLUE BIRD AIRWAYS,2025-06-20T12:20:00,2025-06-20T12:20:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
LIL,9141,FLY LILI,2025-06-20T12:40:00,2025-06-20T12:40:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,CANCELED,מבוטלת
A4,5025,AZIMUTH AIRLINES,2025-06-20T12:50:00,2025-06-20T12:50:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,CANCELED,מבוטלת
BZ,804,BLUE BIRD AIRWAYS,2025-06-20T12:55:00,2025-06-20T12:55:00,D,KGS,KOS,קוס,KOS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,332,ARKIA  ISRAELI  AIRLINES,2025-06-20T13:00:00,2025-06-20T13:00:00,A,NAP,NAPLES-CAPODICHINO,נאפולי,NAPLES,איטליה,ITALY,3,,,CANCELED,מבוטלת
BZ,691,BLUE BIRD AIRWAYS,2025-06-20T13:40:00,2025-06-20T13:40:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,753,BLUE BIRD AIRWAYS,2025-06-20T13:45:00,2025-06-20T13:45:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
